,city,state,city_size,mode,n,percent,moe,state_abb,state_region
374,Edmonds city,Washington,Small,Bike,54,0.3,0.2,WA,West
375,Edwardsville city,Illinois,Small,Bike,54,0.4,0.4,IL,North Central
376,El Centro city,California,Small,Bike,54,0.4,0.4,CA,West
377,El Cerrito city,California,Small,Bike,263,2.2,0.7,CA,West
378,El Mirage city,Arizona,Small,Bike,23,0.2,0.2,AZ,West
380,Elizabethtown city,Kentucky,Small,Bike,0,0.0,0.3,KY,South
381,Elk Grove Village village,Illinois,Small,Bike,22,0.1,0.2,IL,North Central
382,Elk River city,Minnesota,Small,Bike,26,0.2,0.2,MN,North Central
383,Elkhart city,Indiana,Small,Bike,262,1.3,0.6,IN,North Central
384,Elmhurst city,Illinois,Small,Bike,46,0.2,0.2,IL,North Central
385,Elmira city,New York,Small,Bike,56,0.5,0.3,NY,Northeast
386,Elmwood Park village,Illinois,Small,Bike,20,0.2,0.2,IL,North Central
387,Elyria city,Ohio,Small,Bike,104,0.4,0.3,OH,North Central
388,Emporia city,Kansas,Small,Bike,60,0.5,0.5,KS,North Central
389,Encinitas city,California,Small,Bike,470,1.6,0.5,CA,West
390,Englewood city,Colorado,Small,Bike,210,1.3,0.7,CO,West
391,Englewood city,New Jersey,Small,Bike,35,0.3,0.3,NJ,Northeast
392,Enid city,Oklahoma,Small,Bike,28,0.1,0.1,OK,South
393,Enterprise city,Alabama,Small,Bike,13,0.1,0.1,AL,South
394,Euclid city,Ohio,Small,Bike,14,0.1,0.1,OH,North Central
395,Euless city,Texas,Small,Bike,83,0.3,0.3,TX,South
396,Eureka city,California,Small,Bike,232,1.9,1.0,CA,West
397,Evanston city,Illinois,Small,Bike,1073,3.0,0.5,IL,North Central
398,Everett city,Massachusetts,Small,Bike,162,0.7,0.5,MA,Northeast
399,Fair Lawn borough,New Jersey,Small,Bike,9,0.1,0.1,NJ,Northeast
400,Fairbanks city,Alaska,Small,Bike,301,1.9,0.9,AK,West
401,Fairborn city,Ohio,Small,Bike,81,0.5,0.5,OH,North Central
402,Fairfax city,Virginia,Small,Bike,23,0.2,0.2,VA,South
403,Fairfield city,Ohio,Small,Bike,0,0.0,0.1,OH,North Central
404,Fall River city,Massachusetts,Small,Bike,90,0.3,0.2,MA,Northeast
405,Faribault city,Minnesota,Small,Bike,12,0.1,0.2,MN,North Central
406,Farmers Branch city,Texas,Small,Bike,18,0.1,0.2,TX,South
407,Farmington city,Minnesota,Small,Bike,13,0.1,0.2,MN,North Central
408,Farmington city,New Mexico,Small,Bike,91,0.5,0.5,NM,West
409,Farmington city,Utah,Small,Bike,7,0.1,0.2,UT,West
410,Farmington Hills city,Michigan,Small,Bike,82,0.2,0.2,MI,North Central
411,Farragut town,Tennessee,Small,Bike,0,0.0,0.4,TN,South
